id,price
18825,188341.7383631439
30956,268402.6436181415
47193,553902.9497801749
27799,248332.16281472344
22259,270750.8382744545
42190,236141.23801154224
50303,261249.42159157066
34920,335852.5327960603
58714,606279.745802349
4390,348961.57003632135
13280,216136.00166219845
25371,222498.63692333485
21600,911316.4074745668
60208,619914.9232153253
42267,388064.7356024701
61692,216932.66875276517
25118,282771.1318817586
59223,672196.6662883605
9733,253616.01103138595
46302,688942.5974720422
15902,907678.8505360372
21355,401305.46910342685
50381,490204.0259337607
3217,236561.99508356227
38304,205468.08039240993
32565,686912.3146305472
33166,630115.1979683783
11496,251914.56902064403
22661,230707.9573933034
43720,808784.4514129625
53158,364602.41453384707
54033,262514.006553316
19445,296929.2830832438
38184,279772.33560045384
12171,270069.7963596778
49105,361692.3370760992
61949,317232.03651872254
40181,1914432.848832531
28420,234987.81763657607
54660,287741.57309453667
48202,1278430.4628476414
51380,427241.89524077723
56273,234660.1641163054
44835,291961.6823632946
40711,420572.84367974004
49275,268637.40601664485
27784,486706.9940885666
25651,268832.61793486535
62685,296278.947241688
15177,1344817.0650220637
11130,678154.1802059202
5186,197702.49527620687
2530,190086.78221582645
41409,373698.68271717185
39043,341422.49146803305
54874,341141.3053642253
6736,206663.39105222127
47756,303336.51886386075
24858,208401.77869314136
42307,1544929.328221986
33751,266594.9998075409
54100,522980.27987941244
3373,249543.6703896897
45589,391130.968986782
4492,458851.5629425362
56109,730088.2098234709
42951,260717.93592495695
24417,549001.8435539473
39202,630178.3230795603
21268,414710.8535723305
25951,661823.0646017215
29674,1394260.6489372402
15410,436290.0101325531
31503,774122.8858951111
27314,229060.10767332793
958,706768.3461621375
39389,314169.43769284175
29058,323978.04388796585
64280,229606.56559974342
38131,753818.9479867895
48565,258123.74236911285
17548,419917.21924275527
12985,257469.79753692733
10229,323052.57958269503
5831,358297.5806049901
18724,244405.24245494904
52431,230069.753872257
60990,260180.34274685604
2150,245667.18192208116
54882,741272.8805029587
35798,365805.9448744884
29245,474085.2049745086
29178,358604.3581780237
60166,264722.7468626889
42259,265697.85502509325
65590,233147.7563934933
308,1099876.1526568714
40493,226135.21410407097
25779,234525.04050546192
46296,339018.5427831879
39157,247405.31869290592
61182,291986.85699907277
22722,252035.16199390998
42517,235340.18578368644
57693,674363.0065509119
44994,458918.4573288712
45586,246767.72788107
64004,1148570.365070434
33808,936610.4110771347
16795,572944.5075582245
10388,264120.3589170112
37552,245205.10250815828
12246,563270.3610300601
3744,520958.7493743268
42302,241903.33585025405
57286,860312.4370950843
48424,255705.72173203045
639,289421.87731615565
12761,359801.9635271979
12558,224243.08553913666
15417,241430.0160111591
1832,280446.0441009923
38779,1021136.2276152864
39404,1796017.1574689464
58706,211222.545651008
17264,423097.82716459245
16048,275940.89552215964
35996,307249.65636494796
42746,334594.8662276441
6175,266930.68152276514
10233,346308.43598290277
63821,335162.7077055894
6651,281515.6762754287
33432,503947.9881127147
29101,240128.50262633216
33849,240573.06055438003
28761,237159.88591435176
4643,640858.2514323996
18859,1045065.984423937
17707,2100937.6757292454
33279,406112.0554358054
64908,591828.6884388638
20465,3772165.2645482663
66144,264078.9970571414
52742,397104.25364013657
53014,443559.13857944147
56398,328670.8169320997
56113,383850.5214292979
62501,318486.4631020229
17164,270916.84881898406
25841,198341.63702357962
19241,276389.3906324247
26838,274416.1820188221
5818,405626.58504495077
48695,248924.18984537822
41952,359776.48627226
51243,398378.9226424912
53721,244965.9184713197
9394,657991.6059008794
44851,230796.5122183217
